FCS Filename	Conditions	Doses	Doses Numeric Value	Doses Units	Timepoints	Individuals	Plate Shape	Sample Type	Plate Row	Plate Column	Plate	FCS File Category
12c01_sample1_01_0_0_T_cells_C-1_06.fcs	-	-	-	-	C-1	06	-	-	-	-	Plate 1	Experiment Files
12c02_sample1_01_0_0_T_cells_C_10_06.fcs	-	-	-	-	C+10	06	-	-	-	-	Plate 1	Experiment Files
12c03_sample1_01_0_0_T_cells_C_12_06.fcs	-	-	-	-	C+12	06	-	-	-	-	Plate 1	Experiment Files
12c04_sample1_01_0_0_T_cells_DoD_06.fcs	-	-	-	-	DoD	06	-	-	-	-	Plate 1	Experiment Files
12c05_sample1_01_0_0_T_cells_T_6_06.fcs	-	-	-	-	T+6	06	-	-	-	-	Plate 1	Experiment Files
12c06_sample1_01_0_0_T_cells_C-1_07.fcs	-	-	-	-	C-1	07	-	-	-	-	Plate 1	Experiment Files
12c07_sample1_01_0_0_T_cells_C_8_07.fcs	-	-	-	-	C+8	07	-	-	-	-	Plate 1	Experiment Files
12c08_sample1_01_0_0_T_cells_C_12_07.fcs	-	-	-	-	C+12	07	-	-	-	-	Plate 1	Experiment Files
12c09_sample1_01_0_0_T_cells_DoD_07.fcs	-	-	-	-	DoD	07	-	-	-	-	Plate 1	Experiment Files
12c10_sample1_01_0_0_T_cells_T_6_07.fcs	-	-	-	-	T+6	07	-	-	-	-	Plate 1	Experiment Files
12c11_sample1_01_0_0_T_cells_C-1_09.fcs	-	-	-	-	C-1	09	-	-	-	-	Plate 1	Experiment Files
12c12_sample1_01_0_0_T_cells_C_10_09.fcs	-	-	-	-	C+10	09	-	-	-	-	Plate 1	Experiment Files
12c13_sample1_01_0_0_T_cells_C_12_09.fcs	-	-	-	-	C+12	09	-	-	-	-	Plate 1	Experiment Files
12c14_sample1_01_0_0_T_cells_DoD_09.fcs	-	-	-	-	DoD	09	-	-	-	-	Plate 1	Experiment Files
12c15_sample1_01_0_0_T_cells_T_6_09.fcs	-	-	-	-	T+6	09	-	-	-	-	Plate 1	Experiment Files
14c01_sample1_01_0_0_T_cells_C-1_02.fcs	-	-	-	-	C-1	02	-	-	-	-	Plate 1	Experiment Files
14c02_sample1_01_0_0_T_cells_C_10_02.fcs	-	-	-	-	C+10	02	-	-	-	-	Plate 1	Experiment Files
14c03_sample1_01_0_0_T_cells_C_12_02.fcs	-	-	-	-	C+12	02	-	-	-	-	Plate 1	Experiment Files
14c04_sample1_01_0_0_T_cells_DoD_02.fcs	-	-	-	-	DoD	02	-	-	-	-	Plate 1	Experiment Files
14c05_sample1_01_0_0_T_cells_T_6_02.fcs	-	-	-	-	T+6	02	-	-	-	-	Plate 1	Experiment Files
14c06_sample1_01_0_0_T_cells_C-1_03.fcs	-	-	-	-	C-1	03	-	-	-	-	Plate 1	Experiment Files
14c07_sample1_01_0_0_T_cells_C_10_03.fcs	-	-	-	-	C+10	03	-	-	-	-	Plate 1	Experiment Files
14c08_sample1_01_0_0_T_cells_C_12_03.fcs	-	-	-	-	C+12	03	-	-	-	-	Plate 1	Experiment Files
14c09_sample1_01_0_0_T_cells_DoD_03.fcs	-	-	-	-	DoD	03	-	-	-	-	Plate 1	Experiment Files
14c10_sample1_01_0_0_T_cells_T_6_03.fcs	-	-	-	-	T+6	03	-	-	-	-	Plate 1	Experiment Files
14c11_sample1_01_0_0_T_cells_C-1_05.fcs	-	-	-	-	C-1	05	-	-	-	-	Plate 1	Experiment Files
14c12_sample1_01_0_0_T_cells_C_10_05.fcs	-	-	-	-	C+10	05	-	-	-	-	Plate 1	Experiment Files
14c13_sample1_01_0_0_T_cells_C_12_05.fcs	-	-	-	-	C+12	05	-	-	-	-	Plate 1	Experiment Files
14c14_sample1_01_0_0_T_cells_DoD_05.fcs	-	-	-	-	DoD	05	-	-	-	-	Plate 1	Experiment Files
14c15_sample1_01_0_0_T_cells_T_6_05.fcs	-	-	-	-	T+6	05	-	-	-	-	Plate 1	Experiment Files